Real,Immediate,Intermediate,Clusters,Barebones
549.0,420.51633,529.6994,546.72626,471.05164
723.0,490.49597,636.26166,586.7894,385.10492
846.0,419.42172,441.32288,449.44498,419.59738
504.0,479.14835,519.62994,505.83295,471.05164
468.0,510.83078,512.6837,457.29745,471.05164
544.0,427.00247,533.3241,511.65707,471.05164
427.0,562.64246,464.01114,431.98947,471.05164
518.0,525.8157,471.4081,447.8124,471.05164
455.0,553.0696,447.45892,429.63797,471.05164
812.0,457.49326,810.5475,739.7263,471.05164
692.0,509.33563,730.4242,704.83075,471.05164
300.0,437.1568,265.37073,187.705,471.05164
537.0,468.73996,691.3158,726.1111,444.29446
3214.0,614.8498,826.46844,771.5784,471.05164
571.0,527.04175,638.93787,608.12787,471.05164
600.0,471.84973,652.82074,635.3916,471.05164
287.0,414.7822,403.96643,404.49127,471.05164
871.0,538.56415,831.40137,658.9946,471.05164
222.0,454.948,243.94351,251.91841,385.10492
427.0,495.5189,522.22424,737.4651,488.6866
415.0,478.2742,342.05792,318.68655,453.9002
770.0,493.1358,799.524,785.47266,471.05164
676.0,535.1061,677.4455,674.7318,471.05164
463.0,421.4703,519.38696,506.0456,471.05164
335.0,466.2955,492.464,462.7533,471.05164
313.0,504.84506,483.9376,451.89975,471.05164
213.0,614.3622,344.18265,337.66464,367.2175
253.0,484.37253,293.9545,253.13925,471.05164
565.0,462.34973,492.3636,462.9463,471.05164
385.0,538.0842,533.9248,489.4813,471.05164
418.0,463.4529,416.52698,391.38025,419.5974
1971.0,617.5509,864.0072,828.68274,471.05164
329.0,320.29532,305.3911,532.4431,429.4971
257.0,439.57507,404.2974,368.91495,471.05164
658.0,532.1028,770.6521,740.0233,471.05164
2211.0,590.1903,596.57874,566.3293,367.2175
255.0,572.19995,325.2292,278.70444,367.2175
446.0,442.97064,511.31537,496.2587,471.05164
481.0,417.75327,459.33527,470.25995,471.05164
329.0,453.05255,365.32736,351.4529,414.69968
488.0,431.81796,523.26324,515.9646,471.05164
687.0,570.16296,783.0631,693.9146,471.05164
158.0,465.6867,326.06113,311.08374,471.05164
728.0,495.76355,527.7703,534.5091,419.59738
700.0,518.38916,718.30255,722.5886,471.05164
245.0,518.48584,451.0323,417.19302,471.05164
610.0,559.3263,853.97375,796.1282,471.05164
346.0,365.27,472.0678,457.83707,471.05164
300.0,466.73605,434.21967,408.2673,471.05164
164.0,520.3218,511.58142,454.8947,370.30753
2811.0,562.60516,875.7472,825.81934,471.05164
275.0,629.65186,380.83432,608.6524,473.88922
180.0,399.08188,204.9997,190.2406,453.9002
280.0,425.81223,280.96994,256.36246,453.9002
589.0,494.73596,463.17865,467.1613,419.59738
575.0,474.33554,582.6859,545.42236,471.05164
341.0,540.70807,561.9303,667.8262,459.09186
596.0,594.9392,391.89905,608.6551,473.88922
463.0,524.7202,592.7518,558.07306,471.05164
775.0,492.1323,821.37976,797.8946,471.05164
470.0,551.5091,540.1369,494.7368,471.05164
259.0,556.021,318.4048,414.9537,473.88922
235.0,564.7311,326.88135,346.34055,414.69968
438.0,476.3216,314.2135,352.6649,385.1049
711.0,656.41614,1084.8519,1015.29663,471.05164
342.0,498.77567,521.0959,612.864,459.09186
763.0,445.31946,333.30225,328.09637,367.2175
751.0,484.63278,830.4756,818.9818,471.05164
397.0,466.9028,547.5784,520.38477,471.05164
197.0,436.23907,294.674,255.18814,471.05164
788.0,492.41708,806.1426,790.8816,471.05164
335.0,456.41348,283.94583,251.1741,453.9002
475.0,466.33945,560.9022,539.29443,471.05164
185.0,608.54565,388.10107,352.34647,471.05164
145.0,468.213,343.76218,360.81827,429.4971
587.0,528.3213,658.6366,597.3112,471.05164
384.0,513.1476,370.09885,349.12033,453.9002
923.0,514.0449,759.89526,750.4216,471.05164
179.0,304.42862,266.4418,308.33563,471.05164
1465.0,442.8401,655.59973,648.96454,471.05164
352.0,485.24966,507.6507,476.39276,471.05164
517.0,578.01886,570.3146,543.78845,471.05164
1396.0,429.8749,496.33444,632.24567,429.4971
288.0,495.59717,283.96432,370.57376,473.88922
541.0,460.73483,719.24506,695.27734,471.05164
461.0,537.0323,524.05396,509.6997,471.05164
600.0,440.60147,260.1627,276.00754,385.10492
446.0,407.7568,530.0218,513.1372,471.05164
701.0,505.14352,520.76843,529.4541,419.59738
162.0,333.92758,342.1377,187.7747,453.9002
552.0,483.63626,552.3504,546.7488,419.59738
304.0,470.1545,442.6803,445.67325,385.10492
679.0,481.25745,522.1917,511.94193,471.05164
313.0,464.4783,258.0419,275.1994,385.10492
2287.0,652.7047,745.40955,1172.9004,473.88922
563.0,367.67813,533.2666,530.03906,471.05164
282.0,677.6337,429.35638,430.17117,471.05164
634.0,378.14594,388.237,432.41574,429.4971
296.0,280.4313,294.1298,598.76904,459.09186
252.0,514.997,304.33472,285.8198,471.05164
913.0,518.1926,789.54047,772.12256,471.05164
383.0,492.62164,428.6983,407.82608,471.05164
136.0,447.42593,267.219,318.3588,429.4971
141.0,500.95108,284.41492,262.99255,453.9002
114.0,361.12122,239.74182,196.66766,471.05164
198.0,410.5258,315.28598,293.5712,419.59738
68.0,460.9924,290.87177,248.31502,471.05164
532.0,390.41226,541.95264,535.13965,471.05164
247.0,456.34186,229.75803,192.51237,471.05164
231.0,542.3234,308.8882,251.33919,367.2175
349.0,507.1564,516.68823,552.99725,488.6866
224.0,541.68365,268.95996,272.36676,419.59738
364.0,487.7349,385.73254,365.8221,471.05164
316.0,559.3314,394.94177,536.43317,488.6866
222.0,584.04785,613.05695,794.84546,473.88922
242.0,370.7426,209.67627,346.523,414.69968
84.0,559.7158,347.15155,334.8446,367.2175
839.0,522.5922,873.392,859.0651,471.05164
358.0,463.86044,327.43796,339.37973,419.59738
336.0,336.60596,409.53076,452.77234,488.6866
139.0,428.79636,326.31744,304.05948,471.05164
496.0,444.39395,544.1625,581.6891,488.6866
353.0,500.60165,403.77042,379.8289,471.05164
815.0,496.12338,653.68225,659.3439,471.05164
486.0,467.36935,665.5859,810.1658,488.6866
537.0,473.90347,551.33405,527.9159,471.05164
371.0,448.26303,393.90784,382.63754,471.05164
656.0,290.65216,607.3805,550.67596,436.74884
124.0,369.90134,189.57219,236.95456,385.10492
238.0,487.66092,320.69464,478.96106,488.6866
417.0,450.54086,523.7489,506.27402,471.05164
68.0,370.49704,263.83878,156.93782,471.05164
457.0,518.1431,566.50836,523.69464,471.05164
537.0,538.75256,599.3521,556.17175,471.05164
426.0,649.42804,518.31744,495.26468,471.05164
1068.0,496.52335,773.8147,800.49585,488.6866
438.0,423.25113,483.64127,450.5975,471.05164
323.0,583.2226,386.11945,357.2103,471.05164
835.0,565.3076,867.40625,832.85834,471.05164
621.0,534.57,683.9805,638.46716,471.05164
836.0,532.61755,911.0448,877.8735,471.05164
384.0,522.09357,583.93225,538.3081,471.05164
175.0,407.9017,385.1692,412.79453,414.69968
476.0,531.8174,543.0574,491.48438,471.05164
115.0,509.67352,516.3102,525.4068,471.05164
354.0,491.21585,369.64038,373.52567,471.05164
704.0,459.44254,599.3641,510.0497,471.05164
