Clusters,Test_Size,Epochs,Batch_Size,Layer1_Units,Layer2_Units,Dropout_Rate,MSE_Clusters_DL,MSE_Barebones_DL,MSE_Immediate_DL,MSE_Intermediate_DL,ExcludedFeature
10,,500,32,128,64,0.4,59769.81,109189.03,106766.66,315641.6,Floor
10,,500,32,128,64,0.4,60609.23,108936.05,106111.05,316940.88,TimeConnected_sin
10,,500,32,128,64,0.4,61013.45,109202.29,105108.46,318389.22,MaxCurrent
10,,500,32,128,64,0.4,58887.94,109164.86,105412.266,319599.44,MaxVoltage
10,,500,32,128,64,0.4,61282.97,109154.94,106554.97,320082.38,Weekend
10,,500,32,128,64,0.4,62067.098,109089.01,105629.81,320128.84,AverageCurrentDifference
10,,500,32,128,64,0.4,71026.21,109087.21,109075.56,320679.97,ChargingPoint
10,,500,32,128,64,0.4,61141.348,109059.16,104894.414,321584.78,Current_Type
10,,500,32,128,64,0.4,62685.54,109112.79,107558.57,321865.38,TimeConnected_cos
10,,500,32,128,64,0.4,92673.266,108974.53,106936.73,322896.88,Energy_Uptake
10,,500,32,128,64,0.4,60854.227,109067.05,106142.05,326305.1,AverageVoltageDifference
10,,500,32,128,64,0.4,65084.242,109042.56,105237.84,326749.53,FullyCharged
