RMSE_Clusters,RMSE_Intermediate,TS_Samples,Clusters,Clustering Settings,Epochs,Batch_Size,Layer1_Units,Layer2_Units,Layer3_Units,Layer1Activation,Layer2Activation,Layer3Activation,Dropout_Rate,ShouldEmbed,Timestamp,MAE_Clusters,MAE_Intermediate,RandomState,LearningRate
146.89215,194.63383,120.0,13.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240508_231353,84.042274,101.20736,1.0,0.005
146.89215,194.63383,120.0,13.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240508_231926,84.042274,101.20736,1.0,0.005
146.89215,194.63383,120.0,13.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240508_225721,84.042274,101.20736,1.0,0.005
146.89215,194.63383,120.0,13.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240508_230823,84.042274,101.20736,1.0,0.005
146.89215,194.63383,120.0,13.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240508_230251,84.042274,101.20736,1.0,0.005
152.15245,247.77812,90.0,17.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240508_150235,93.712814,126.84801,5.0,0.005
154.03014,205.31567,120.0,9.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240510_104223,85.207306,100.97654,1.0,0.005
154.03014,205.31567,120.0,9.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240510_103624,85.207306,100.97654,1.0,0.005
154.03014,205.31567,120.0,9.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240510_102343,85.207306,100.97654,1.0,0.005
154.03014,205.31567,120.0,9.0,Algorithm tskmeans MaxIter 100 Tolerance 7e-07 NInit 1 Metric softdtw MaxIterBarycenter 100 UseVoltage True UseAll3Phases True MinClusterSize 1 MaxClusterSize 10 HandleMinClusters nothing HandleMaxClusters nothing SilhouetteScore nan,1500.0,16.0,256.0,64.0,1.0,tanh,relu,relu,0.4,False,20240510_103007,85.207306,100.97654,1.0,0.005
