ID,Cluster,NumClusters,Algorithm,MaxIter,Tolerance,NInit,Metric,MaxIterBarycenter,UseVoltage,UseAll3Phases,MinClusterSize,MaxClusterSize,HandleMinClusters,HandleMaxClusters,SilhouetteScore
56289366,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56289477,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293141,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56293272,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56294396,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56295013,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56297786,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56301015,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56308594,1,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311271,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56311351,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56313766,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56317657,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56319030,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56320091,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56322231,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323361,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56323691,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326172,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56326218,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56329635,2,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56330203,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335748,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56335842,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56336916,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56338693,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56347545,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56357204,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56377049,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56499039,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56507713,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56508926,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56509585,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56512524,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513612,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56513866,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56514883,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56515638,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516198,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56516753,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56522709,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56525100,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56526411,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56529266,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533347,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56533679,2,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56534446,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56535776,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56536684,1,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540017,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540360,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56540435,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56543050,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56545080,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56545746,2,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56549119,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56550262,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56550599,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56551338,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56560999,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56565947,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56570677,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56572179,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56575867,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56576283,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56576441,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56579400,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56606528,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56625057,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56628324,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56629780,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56637988,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56641711,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56644803,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56657906,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56659386,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56665224,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56672125,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56673404,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56677569,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56678759,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56679738,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56683313,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56684216,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56690172,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56692568,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56695287,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56697803,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56700184,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56710961,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56745649,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56751349,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56780579,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56786559,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56787001,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56801641,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56803200,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56807591,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56807960,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56809736,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56812446,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56815763,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56816331,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56816537,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56822181,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56825545,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56827261,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56832212,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56834340,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56838816,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56842538,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56845230,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56855575,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56903870,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56910955,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56918523,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56918867,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56919122,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56927069,2,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56928814,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56931363,0,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56935851,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56936773,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56936779,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56936918,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56946646,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56950716,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56962364,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56968133,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56969833,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56977981,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
56990406,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57001160,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57018693,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57020162,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57028871,1,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57029549,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57031156,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57033249,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57033615,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57034168,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57036183,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57045467,2,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57048476,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57049178,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57067602,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57082370,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57107066,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57110903,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57112200,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57115988,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57116091,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57119576,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57121359,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57124755,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57129786,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57132084,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57132878,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57134460,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57135403,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57136037,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57181553,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57188608,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57189414,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57192789,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57193962,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57195856,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57196380,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57197511,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57203099,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57203642,6,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57204841,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57210270,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57212381,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57215426,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57217332,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57223401,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57224741,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57229961,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57229998,2,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57233581,5,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
57236679,3,7,tskmeans,100,7e-07,1,softdtw,100,True,True,1,10,nothing,nothing,
